id	title	production	length	presentation	youtube	links	embedding
440	Pusztai szél	1937	77	1937.11.11	0		
441	Rád bízom a feleségem	1937	95	1937.03.18	0		
442	Rákóczi induló	1933	84	1933.11.23	1	https://youtu.be/wFP1iOv9eCo	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/wFP1iOv9eCo"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
443	Rákóczi nótája	1943	97	1943.11.24	1		
444	Rotschild leánya	1934		1934.06.04	0		
445	Sarajevo	1940	81	1940.09.02	1	https://youtu.be/iyITuU9hEyE	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/iyITuU9hEyE"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
446	A sárga csikó	1936	77	1936.09.03	1	https://youtu.be/H1iMNEWNt9k	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/H1iMNEWNt9k"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
447	Szakítani nehéz dolog	1942	95	1942.12.23	0		
449	Zúgnak a szirénák	1939	88	1939.11.30	0		
450	Szegény gazdagok	1938	66	1938.12.22	1	https://youtu.be/72a5wtgYdG4	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/72a5wtgYdG4"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
451	Szép csillag	1942	95	1942.12.25	0		
452	Szeptember végén	1942	87	1943.08.18	1		
453	Szerelmes szívek	1944	54	1944.07.20	1		
454	Szerelmi álmok	1935	95	1935.08.15	1		
455	Szerelmi láz	1942	72	1943.05.21	1	https://youtu.be/mmg67PbbvZw	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/mmg67PbbvZw"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
456	Szerencsés flótás	1943	79	1943.05.21	1		
457	Szeretõ fia, Péter	1942	82	1942.12.25	1	https://youtu.be/nEteBajHYzM	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/nEteBajHYzM"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
459	Tavaszi zápor	1932	78	1932.11.04	1	https://youtu.be/05JITg9C_4o	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/05JITg9C_4o"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
460	Te csak pipálj, Ladányi!	1938	70	1938.02.22	1		
461	Te vagy a dal	1940	77	1940.06.03	0		
462	Tisztelet a kivételnek	1936	70	1937.01.09	1		
463	Tokaji rapszódia	1937	69	1937.12.23	0	https://youtu.be/o1bNjtM2Tp8	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/o1bNjtM2Tp8"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
464	Torockói menyasszony	1937	75	1937.11.23	1	https://youtu.be/_7Mq3T05VNo	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/_7Mq3T05VNo"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
466	Uz Bence	1938	73	1938.11.18	1	https://youtu.be/KRMICFQ031Y	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/KRMICFQ031Y"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
467	Üzenet a Volga partról	1942	71	1942.12.14	1	https://youtu.be/wGxwNv9Ix2Y	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/wGxwNv9Ix2Y"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
469	Valamit visz a víz	1943	88	1944.01.26	1	https://youtu.be/BiIyVTDPV4g	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/BiIyVTDPV4g"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
470	Varjú a toronyórán	1938	79	1938.11.24	1		
471	Vica, a vadevezõs	1933	44	1933.06.01	1	https://youtu.be/Bk0L9kFcktE	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/Bk0L9kFcktE"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
472	Viharbrigád	1943	73	1944.04.10	0		
473	Zavaros éjszaka	1940	85	1940.08.15	0		
474	Zivatar Kemenespusztán	1936		1936.11.19	0		
475	Zörgetnek az ablakon	1943			0		
601	Tavasz a viharban	1929		1929.10.06	0		
604	Én voltam	1936	58	1936.10.08	1	https://youtu.be/IdtL5iMaotU	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/IdtL5iMaotU"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
605	Szomorú csütörtök, vidám vasárnap	1936		1936.07.05	0		
606	A titokzatos idegen	1936	83	1937.05.05	0		
607	Vihar után	1944	82	1945.10.27	0		
