id	title	production	length	presentation	youtube	links	embedding
199	Vadrózsa	1938	79	1939.03.09	1	https://youtu.be/yEZNVVZtrNw	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/yEZNVVZtrNw"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
200	Végre...	1941	70	1941.09.04	1		
201	A vén gazember	1932	93	1932.12.21	1		
203	Viki	1937	65	1937.11.09	1	https://youtu.be/Z6Kxll5NZjg	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/Z6Kxll5NZjg"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
204	Vissza az úton	1940	69	1941.02.17	1	https://youtu.be/YHeAfyt9tLA	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/YHeAfyt9tLA"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
205	Zárt tárgyalás	1940	85	1940.11.21	1	https://youtu.be/N715YtexHVc	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/N715YtexHVc"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
206	Zenélõ malom	1943	79	1944.11.11	1	https://youtu.be/VhpB5gu2_XI	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/VhpB5gu2_XI"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
301	120-as tempó	1937	71	1937.10.07	1	https://youtu.be/VYHXy6UfSdk	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/VYHXy6UfSdk"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
302	3:1 a szerelem javára	1937	84	1937.10.14	1		
303	A Benedek ház	1943	81	1944.02.17	1		
304	A cigány	1941	68	1941.11.25	1		
305	A csúnya lány	1935	83	1935.09.27	1	https://youtu.be/zoMGcGQIL2Q	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/zoMGcGQIL2Q"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
306	Fehér vonat	1943	84	1947.01.01	0		
308	A harapós férj	1937	80	1938.03.07	1	https://youtu.be/T3U05JzPum0	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/T3U05JzPum0"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
309	A hegyek lánya	1942	78	1943.01.14	1		
310	A kegyelmes úr rokona	1941	76	1941.03.04	0	https://youtu.be/mBMLvhkQPPU	
311	A kék bálvány	1931	73	1931.09.25	1	https://youtu.be/T8oczIWISt4	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/T8oczIWISt4"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
312	A királyné huszárja	1935	78	1935.12.07	0	https://youtu.be/wFIzN9EFw8w	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/wFIzN9EFw8w"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
313	A látszat csal	1943			0		
314	Menekülõ ember	1943	73	1943.10.12	1		
315	Néma kolostor	1941	95	1941.02.22	0		
316	Pepita kabát	1940	69	1940.11.21	1		
317	A piros bugyelláris	1938	98	1938.08.21	0	https://youtu.be/yWryEW4vKW4	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/yWryEW4vKW4"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
318	A pusztai királykisasszony	1938	80	1939.01.19	0	https://youtu.be/csR2GigNBpk	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/csR2GigNBpk"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
319	A szép Pongrácné krinolinja	1931			0		
320	A szív szava	1937		1937.07.29	0		
321	A varieté csillagai	1938	77	1939.03.30	1		
322	Ágrólszakadt úrilány	1943	87	1943.12.27	1		
323	Álomsárkány	1939	84	1939.05.11	0		
324	Anyámasszony katonája	1943	90	1943.08.25	0		
325	Aranypáva	1943	85	1943.11.02	1		
326	Asszonyszelídítõ	1931			0		
327	Az elsõ	1944	80	1944.10.01	1	https://youtu.be/i4jljwY1iMg	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/i4jljwY1iMg"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
328	Az ember néha téved	1937	74	1938.01.21	1		
329	Intézõ úr	1941			0		
330	Az orvos titka	1930	77	1930.10.19	0		
331	Az ördög nem alszik	1941	85	1941.10.16	1		
332	Az új földesúr	1935	99	1935.12.21	1		
334	Barátságos arcot kérek!	1935	71	1936.02.04	1	https://youtu.be/RreZ7kAMd24	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/RreZ7kAMd24"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
335	Beszállásolás	1938	82	1938.11.02	0		
337	Boldog idõk	1943	91	1943.12.31	1		
338	Bors István	1938	99	1939.02.23	0		
339	Budai cukrászda	1935	84	1935.11.30	1	https://youtu.be/ed3W8SbG-vU	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/ed3W8SbG-vU"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
340	Búzavirág	1934	81		0		
341	Cifra nyomorúság	1938	75	1938.09.30	1	https://youtu.be/a698I5ht9MY	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/a698I5ht9MY"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
342	Csak egy kislány van a világon	1929	65	1930.05.12	1	https://youtu.be/UJ_tXpKhHlo	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/UJ_tXpKhHlo"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
343	Családi pótlék	1937	62	1937.12.09	1		
344	Családunk szégyene	1942	83	1943.02.11	1	https://youtu.be/4bQhKoby3t4	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/4bQhKoby3t4"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
345	Édes a bosszú	1937	73	1937.09.16	1		
346	Édes mostoha	1935	82	1935.10.15	1	https://youtu.be/gUcgvTJ1xhs	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/gUcgvTJ1xhs"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
347	Egér a palotában	1942	67	1943.06.30	1		
348	Egy bolond százat csinál	1942	80	1943.05.01	1	https://youtu.be/4PTAUY2oc1M	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/4PTAUY2oc1M"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
349	Egy fiúnak a fele	1944	85		1		
350	Egy gép nem tért vissza	1943	77	1944.07.01	1	https://youtu.be/mhvGlEpsTZs	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/mhvGlEpsTZs"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
351	Egy nap a világ	1943	81		0		
352	Egy pofon, egy csók	1944	67		1		
353	Egy szív megáll	1942	79	1942.12.22	1		
354	Egy tál lencse	1941	82	1941.04.10	1	https://youtu.be/ee8sBS7R03Y	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/ee8sBS7R03Y"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
355	Éjféli keringõ	1944			0	https://www.youtube.com/live/rh2IaUYB-Rs?feature=share	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/rh2IaUYB-Rs"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
356	Éjjeli zene	1943	83	1943.11.09	1		
357	Elcserélt ember	1938	70	1938.03.25	1		
358	Elnökkisasszony	1935	85	1935.11.25	1	https://youtu.be/jRcvZcWRigk	
359	Ember a híd alatt	1936	73	1936.04.02	1	https://youtu.be/u3giQVOvXv4	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/u3giQVOvXv4"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
360	Emmy	1934	69	1934.12.21	1	https://youtu.be/Yf9joQ19oYM	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/Yf9joQ19oYM"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
361	Enyém vagy	1942	93	1942.11.11	0		
362	Érik a búzakalász	1938	87	1939.04.20	0		
363	Estélyi ruha kötelezõ	1942	67	1942.08.14	1	https://youtu.be/fqoANWeJ3zM	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/fqoANWeJ3zM"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
364	Évforduló	1936	90	1936.12.25	1		
365	A falu rossza	1937	96	1938.01.12	1	https://youtu.be/14wMEhDmTJ0	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/14wMEhDmTJ0"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
366	Fehérvári huszárok	1938	65	1939.02.03	0		
367	Fekete hajnal	1942	81	1943.09.01	1		
368	Férjet keresek	1939	59	1940.02.05	1	https://youtu.be/8EIiBxRzTq0	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/8EIiBxRzTq0"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
369	Filléres gyors	1932		1932.12.01	0		
370	Fiú vagy lány ?	1944	91		1		
371	Forog az idegen	1936		1936.07.03	0		
372	Földindulás	1939	92	1940.01.28	0	https://youtu.be/H0lJ3YWiF4g	"<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/H0lJ3YWiF4g"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe>"
373	Futóhomok	1943	87		0		
374	Futótûz	1943	77	1944.04.30	1		
378	Garszonlakás kiadó	1939	68	1940.01.18	1		
379	Gazdátlan asszony	1944	75		1		
380	Gyanú	1944	69	1944.10.01	1		
381	Halálos csók	1942	90	1942.10.15	1		
382	Haláltánc	1941	83	1942.02.24	0		
383	Halló, Budapest	1935	70	1935.10.15	0		
